'tain	tɛ̃
a	a
a	ɑ
a	ɔ
aa	aa
aalandais	aalɑ̃dɛ
aalandaise	aalɑ̃dɛz
aalénien	alenjɛ̃
aaron	aaʁɔ̃
aaronais	aaʁɔnɛ
aaronaise	aaʁɔnɛz
aaronique	aaʁɔnik
aast	aast
aastais	aastɛ
aastaise	aastɛz
ababouiné	ababwine
ababouinée	ababwine
abaca	abaka
abaca	abɑkɑ
abacost	abakɔst
abactérienne	abakteʁjɛn
abacule	abakyl
abader	abade
abainville	abɛ̃vil
abainvilloise	abɛ̃vijwaz
abaissable	abɛsabl
abaissable	abɛːsab
abaissable	abɛːsabl
abaissables	abɛsabl
abaissables	abɛːsab
abaissables	abɛːsabl
abaissant	abɛsɑ̃
abaissant	abɛːsã
abaissant	abɛːsɑ̃
abaissants	abɛsɑ̃
abaissants	abɛːsã
abaissants	abɛːsɑ̃
abaisse	abɛs
abaisse	abɛːs
abaissement	abɛsmɑ̃
abaissement	abɛːsmã
abaissements	abɛsmɑ̃
abaissements	abɛːsmã
abaisser	abese
abaisser	abɛse
abaisser	abɛːse
abaisseur	abɛsœʁ
abaisseurs	abɛsœʁ
abaisseurs	abɛːsœʁ
abaissé	abese
abajoue	abaʒu
abaliéner	abaljene
abalone	abalɔn
abalourdir	abaluʁdiʁ
abancourtoise	abɑ̃kuʁtwaz
abandon	abɑ̃dɔ̃
abandonnataire	abɑ̃dɔnatɛʁ
abandonnement	abɑ̃dɔnmɑ̃
abandonner	abɑ̃dɔne
abandonneur	abɑ̃dɔnœʁ
abandonnez	abɑ̃dɔne
abandonnique	abɑ̃dɔnik
abandonné	abɑ̃dɔne
abandouner	abɑ̃dune
abaque	abak
abasie	abazi
abasourdir	abasuʁdiʁ
abasourdir	abazuʁdiʁ
abasourdira	abazuʁdiʁa
abasourdirai	abazuʁdiʁe
abasourdiraient	abazuʁdiʁɛ
abasourdirais	abazuʁdiʁɛ
abasourdirait	abazuʁdiʁɛ
abasourdiras	abazuʁdiʁɑ
abasourdirent	abazuʁdiʁ
